District,Kerosene - Lighting,Gas - Lighting,EDSA - Lighting,Generator - Lighting,Solar Panel- Lighting,Battery - Lighting,Candles - Lighting,Firewood - Lighting,Other - Lighting,Firewood - Cooking,Charcoal - Cooking,Kerosene - Cooking,Gas - Cooking,Electricity - Cooking,Saw Dust/Crop Residue - Cooking,Animal Waste - Cooking,Thatch - Roofing,Iron Sheet - Roofing,Cement/Concrete - Roofing,Tiles - Roofing,Tarpaulin - Roofing,Mud and Wattle - Walls,Mud Brick with Cement - Walls,Wooden Boards - Walls,Iron Sheet - Walls,Cement Block - Walls,Others - Walls,Earth/Mud - Flooring,Tile - Flooring,Wood - Flooring,Concrete/Cement - Flooring,Stone - Flooring,Piped Sewer System - Toilet,Septic Tank - Toilet,Pit Latrine - Toilet,Flush Elsewhere - Toilet,Ventilated Improved Pit Latrine (VIP) - Toilet,Pit Latrine with Slab - Toilet,Open Pit Latrine - Toilet,Composting Toilet - Toilet,Hanging Toilet - Toilet,No Facility - Toilet,Other - Toilet,Piped,Tube Well,Protected Dug Well,Unprotected Dug Well,Protected Spring,Unprotected Spring,Rainwater,Surface Water,Bottle/Satchet Water,River/Stream,Other,Cattle,Sheep,Goats,Pigs,Chickens,Ducks,Other Poultry,Other Livestock,Farmed Fish,Disability Total
Kailahun ,2.1,0,0,0.2,19.8,77.9,0,0,0,97.9,2.1,0,0,0,0.1,0,5,94.8,0.2,0,0,61.8,31.7,0.1,0.3,6.1,0,70.6,0.1,0,29.3,0,0.6,0.3,0.7,0,0.2,62.5,4.9,0,0.3,30.5,0,8.9,40.1,9.8,21.8,0,11.4,0.3,0,0,7.8,0,273,"4,404","10,938","1,110","39,788","4,525",273,188,188,9.8
Kenema ,0.3,0,15,1.2,14.4,69.1,0,0.1,0,82.9,17.1,0,0,0,0,0,12.3,87.4,0.3,0,0.1,54.9,29.6,0,3.4,12.1,0,54.1,3.6,0.1,42.2,0,0.5,2.1,3.3,0,1.7,57,14.1,0,4,17.3,0,21,38.6,28.6,1.9,0.3,0.2,0,0,1.7,7.8,0,149,"4,884","11,563",298,"54,454","3,554",0,149,0,7
Kono ,1.3,0,7.8,0,3.1,87.7,0,0,0,78.9,21,0,0,0,0,0,4,95.7,0.4,0,0,64.1,25.8,0.2,0,7.1,2.8,62.9,4.3,0,32.8,0,0.6,1.1,1.5,0,2.6,34.1,46,1.6,0.8,11.6,0,6.1,17.9,25.4,4.8,1.7,24.2,0,0,1.5,18.4,0,"1,214","7,677","9,776",607,"41,193","2,559",115,0,0,6.5
Bombali ,1.3,0.1,25.6,0,2.2,70.7,0,0.1,0,70.6,27.5,0,0,0,0,1.8,6.8,91.1,1.1,1,0,51.8,25.2,2.8,0.2,20.1,0,42.1,3.8,0.1,52.1,2,1.5,1.2,2.1,0.5,1,40.4,41.6,0.7,3.3,6,1.6,1.6,30.8,20.2,12.8,1.2,7,0,2.3,4.1,19.9,0,444,"7,428","12,788",296,"36,044","2,188","2,464",0,0,5.6
Falaba ,0,0,0,0,4.9,90.4,0,4.6,0,99.3,0.7,0,0,0,0,0,43.4,56,0.6,0,0,76.5,18,0.7,0,4.8,0,85.6,0,0,14.5,0,0,0,1.2,0,1.5,68.3,4.1,0,20.3,4.6,0,0.9,11.5,32.3,11,1.2,15.5,0,0.6,0,27.1,0,"13,010","16,915","21,169",349,"23,628",648,216,0,0,1.8
Koinadugu ,0,0.1,0,0.5,12,87.4,0,0,0,86.5,13.5,0,0,0,0,0,7,91.7,1,0,0.3,42.9,51.5,0.2,0.1,0.8,4.6,46.7,5,0.2,48.2,0,0.4,0.7,1.1,0,4.6,52.1,13.1,0,26.3,1.8,0,6.6,12.1,28.6,0.7,0,27.2,0,1.2,1.5,22.1,0,"2,094","5,368","11,798",0,"24,095","1,828",0,0,0,3.5
Tonkolili ,0.7,0,1.7,0,4.1,92.7,0.1,0.2,0.4,84,16,0,0,0,0,0,18,76.4,5.6,0,0,62.5,35,0,0,2.1,0.3,68.7,0.3,0.3,30.8,0,0.8,0.6,0,0,2.2,32.6,25.9,4.9,2,31.2,0,6.9,9.2,11.4,21.5,1.5,10.3,1,0,0,38.1,0,0,"14,800","30,075",175,"75,925","6,425",450,0,"1,350",20
Kambia ,4.7,0.1,0,0,13.1,81.9,0.1,0.1,0,91.1,8.9,0,0,0,0,0,5.2,94.9,0,0,0,41.7,48.3,0,0,10.1,0,53.7,0.5,0,45.9,0,0,0,2.4,0.5,1,32.2,39.7,4.3,0,20,0,6.1,2.4,21.4,26.7,7.2,18.2,0,0,0,18.1,0,"2,586","17,748","22,368",282,"50,430","9,144",0,0,0,2.4
Karene ,0.2,0,0,0,3.1,96.3,0.2,0,0.3,87.5,12.5,0,0,0,0,0,8,91.9,0,0.1,0,44.4,53.5,0,0.1,1.9,0,62.5,0.6,3.3,33.6,0,0,0.3,0.2,0,0,31.7,37.7,5.4,13.9,10.8,0,0,33.2,15.4,17.1,1.7,15.8,0,0,0,16.2,0.7,"1,944","5,312","10,311",421,"22,156","1,171","6,364",296,0,3.5
Port Loko ,4.1,0,11.6,0,0.5,83.6,0,0,0.1,82,18,0,0,0,0,0,7,89.9,3,0.1,0.1,44.9,41,0,3.1,11.1,0,45.1,9.4,0,45.5,0,0,2.8,2,0,0.7,27.1,32.8,0.3,18.4,15.8,0.1,2.2,30.1,15.4,13.9,1.4,5.6,0,0,2.9,28.4,0.2,"1,625","21,719","27,137","1,023","76,945","11,253",120,0,0,9.2
Bo ,1.1,0,17.5,1.6,6.5,71.6,0,1.7,0,81,19,0,0.1,0,0,0,13.5,79.4,7.1,0.1,0,46.1,34.6,0.2,0.1,19,0,49.6,4.3,0.1,46.1,0,0.7,3.9,8,0.2,3.5,27.1,11.4,0,11.2,33.9,0,6.5,22.4,31,3.7,0.7,3,0.2,0.8,3,28.7,0,98,"6,688","14,304","1,060","63,016","7,830",212,0,0,6.6
Bonthe ,0.5,0.1,2.7,0.1,2.5,94.1,0,0,0.1,87.1,12.8,0.1,0,0,0,0,30.5,57.8,11.8,0,0,48.1,40.2,0,0,11.2,0.5,58,0.5,0,41.4,0,0,1.1,14,0,2,1.5,9.9,11.9,0,59.5,0,1.1,22.6,12.1,24.5,0.8,6.9,0.7,0,2,29.1,0,147,"7,210","13,475",588,"27,286","1,974",0,266,0,1.6
Moyamba ,0.6,2.6,0.1,0.1,3.9,92.4,0,0.1,0.2,97,3.1,0,0,0,0,0,37.3,61.8,0.9,0,0,75,14.1,0.1,0.1,7.1,3.6,85.7,0.5,0,13.8,0,0,1.6,6.4,0,1.3,8.5,20.6,4.7,11.5,44.4,0.9,0.5,15.8,10,34.9,0,7,0.5,2.3,0,29,0,0,"5,515","14,135","2,910","40,115","3,470",280,"5,600",280,6.2
Pujehun ,0.3,0,0,0.1,15.9,83.5,0,0.1,0.1,98.2,1.8,0,0,0,0,0,34.9,65.1,0,0,0,69.8,26.8,0,0,3.4,0.1,63.3,1.9,0,34.8,0,0.2,0.2,0,0,1,32.5,22.1,0,2.1,41.8,0.2,3,40.8,18.8,11.6,5,2.1,0,0.4,0,18.3,0,0,"3,531","7,065",0,"33,378","3,078",0,0,0,4.7
Western Rural ,0.2,0.3,24.9,2.8,5.7,66,0.1,0,0,24.9,75,0.1,0,0,0,0,0.3,93.3,6.3,0.2,0.1,7.3,34.2,0.2,12.9,45.5,0,4.3,21.8,0,73.8,0.1,2.7,20.7,11,0.3,2.7,34,12.7,0,6,10,0,30.3,17.3,29,1,0,0.7,0.3,2.7,15,3.7,0,446,"2,676","1,784",892,"24,307",892,0,892,0,3.9
Western Urban ,2.9,0.1,81.8,0.7,0.1,13.2,0,0,1.3,6.8,91.9,0.1,1.1,0,0,0,0,91.7,5.3,2.4,0.6,0.3,21.6,4.8,20.3,52.5,0.6,0.8,19.9,2.7,76.6,0,6.5,16.3,12.7,2.4,10,45.8,3.9,0.1,0.7,1.4,0.2,47.8,2.6,11.4,0.4,4.3,1,0.1,0.6,31.1,0.7,0,420,980,420,0,"21,840","2,520",0,280,0,7.7